Distance,Prijs
250.49801950179898,16191138.499108503
212.90047853104474,15839057.708894663
219.42557411573122,16343105.070016954
247.41202419971563,16512138.039518623
230.63547534336112,16042637.076236641
275.1744888841608,16675222.676713506
220.77921629412634,15777529.723351024
273.8442802028645,16419238.021106146
251.7548796970576,16339261.521462057
197.49273653333884,15604569.991987068
235.04041683697568,16075340.02835968
226.3342589476112,16028244.21468899
241.0214125936859,16201354.690161936
220.40965389573057,15848617.540808495
252.35487725680886,16181600.668416161
255.11065906399787,16508315.366301805
261.03347659549024,16717565.399501015
244.04368818505833,16203921.953639857
269.3809617723584,16671626.058810279
239.23071963361247,16295062.181368511
249.06842806506307,16419128.215483814
251.0121379827515,16339812.562920723
275.9224259528063,16517473.30742541
227.91987377590536,15980543.109693833
251.77200134780844,16278678.051936211
251.56086721883108,16151437.75371827
250.60085994109517,16142439.022838734
231.7132796062519,15980906.970199438
262.7586354262585,16579465.403815968
221.54062382639353,16046115.008657739
257.72851886060926,16321701.6654763
252.35853113253762,16432310.534801278
274.7380984735735,16626963.308049457
272.73760451309676,16510565.945752827
258.4599490402183,16333810.174340962
236.29707925449026,16026845.64196004
261.635173267567,16736521.852621464
238.31873202992162,16070040.719939487
236.06459627926262,16094970.64371387
259.63871758391235,16609967.223021733
246.76593243344195,16290183.695955625
214.8995448474458,15791700.452795707
219.743841085786,15995518.658546763
266.40475860369236,16387089.194429534
260.5635555935666,16233066.875172606
231.33908189725977,16008921.805549448
243.58671531684936,16366526.082630672
235.786490877369,16323886.90274238
241.2831354928959,16205180.11632794
200.45078057505685,15524707.603442464
271.1780572231018,16620975.000196064
245.14363213563345,16012474.539112194
238.62243047242822,16154071.236354582
219.52705023769525,16034841.541250417
213.8142689744818,15761129.845421154
262.2011539362472,16696532.916334111
232.26878573037018,16194886.425610285
234.43246529856248,16393583.655927833
211.13204769198495,15725738.759972224
215.15478598249456,15858833.847454712
250.55625982407554,16205289.201132158
255.56430597514017,16137309.528558614
235.82910915270142,16044721.615562031
234.84822839649664,16013045.219495755
239.49627306567436,16276530.61911392
235.3249967964236,16075876.440405125
239.47279113334605,16246947.77755973
268.8426640690355,16374721.455051828
232.08747076080323,16027210.856024235
244.15452741908365,16388600.142623927
252.88280511602468,16621898.101929478
237.40993800747728,16060303.233678795
222.58270883687837,16092727.275480146
259.65283937663537,16281507.648906749
216.41664325309765,16027749.462181363
225.42597278786164,16259129.821424512
215.1936809523844,15935748.345063949
249.70976054980727,16150539.774511678
235.34243827073206,15828424.557342304
229.91114132461308,15990515.251975995
209.24311323092405,15801619.263367506
251.5863627433604,15985041.92888228
221.18263890972017,16343168.2543311
259.28933064305,16378998.234358149
221.8854380915302,15963435.069041643
213.0956542497652,15795257.41700018
252.67474991407042,16144071.944299176
248.28658086142133,16302211.295565845
219.33263979004388,16024278.349280672
223.88571301189623,16030835.281871194
232.22972266722383,16406509.934710843
246.79269169438456,16250187.651663078
273.24117669005363,16389201.417468129
231.46168594548135,15863205.019772654
212.60021060323461,15697540.93704413
241.1447827291253,16214317.67779339
240.86896745774206,16677021.21862383
292.8450050917596,16904613.376628377
245.09481877251977,16109536.706259118
247.78561545354657,16596312.012127822
238.82683610485245,15890512.435352644
225.78218128192765,15989643.67661383
205.72247285882676,15555931.502781637
246.38491051023857,16258170.254227748
250.5833343149571,16286484.7991984
222.3069632426899,16015111.040148225
245.3299335238772,16106860.004755506
223.2494857925593,15898895.782682784
292.85840741182454,16780185.38824477
252.40123891268038,16190025.58708446
258.41529409549656,16538485.764516497
223.73890796314595,15915017.537229434
239.89398004784226,15944932.18020866
235.51000297808585,16036770.71928269
260.9518730042496,16235915.46759719
218.57848503510093,15971154.560254099
236.080341529523,16131588.374285106
211.22710928284212,15891345.00019715
237.22795722371305,16056893.53966446
241.9241174866332,16393902.219646294
238.87454771245442,15932690.301900836
245.77007774871063,15986966.837346364
258.75479210793003,16356837.434994694
217.60497660654258,15768831.80425106
253.72427158622136,16174007.346756438
232.8185639708857,16053990.546379613
266.8334792644804,16364378.545025686
238.82565114960087,16208260.80023553
234.80938660324173,16089430.785508169
240.9313043986694,16147903.651492069
256.97436135480825,16446899.554763068
242.9388143141999,16210972.31644627
249.14223723478355,16498759.338036634
242.3840090994501,16184190.548203848
255.94872564609506,16296062.675667595
242.60542243858904,16213372.042924495
219.75550219884997,15611565.321381776
246.78833840468292,16471415.982105866
234.2428521850469,16117328.841745345
216.15612866199947,15773712.158224748
238.34694283049373,16061396.571489803
250.38765867634143,16477800.789061151
220.98532908707273,15928479.11944764
236.25651383785805,16144616.72789885
234.2232502701007,16116552.313890602
265.3148719402894,17125036.791347675
215.45521905617707,15751961.029753175
246.6637372157037,16232318.191909343
248.46277253653074,15950625.362582732
247.71464855851963,16051416.12536317
224.54201453976333,16301514.48982342
213.03635118455597,15805667.41361074
253.84048829157794,16563000.100504672
234.18299995185623,16241304.854461173
207.22843611929937,15790899.533793572
247.95017821112506,16195141.956675183
230.26235757144076,16159181.63481032
231.05635581712932,15874491.832289025
236.00362081077256,16233350.010707086
255.6583321597803,16445794.713294957
216.6781990997206,15648889.663896158
271.14242380705355,16609446.111134088
236.9167211508459,16066846.654141765
230.28444977016167,15911887.748640247
278.31289164979955,16660656.685273036
219.80927066303153,15834922.144639218
275.355217789743,16412017.016475854
249.93080274809964,16280567.745368486
243.02123612845958,16496741.831873596
249.32540831654623,16346020.631762587
251.00463293273776,16248526.728920667
241.47633281330042,16158618.386414018
271.4949404859791,16277822.76051111
246.09485522399197,16080750.735962186
256.0753429856405,16219018.755846702
224.24824588306151,15962243.133044135
228.1149511965744,15989283.283205312
275.7964504019141,16585376.57090353
221.12641373294326,15736613.121235086
252.39242422276286,16297294.228269266
241.10113152878662,16693525.705411816
236.58904500323618,16245491.33477767
246.76736435667453,16191901.318956612
279.00972334333375,16601554.419239061
251.49028557923126,16174476.12522115
244.52383710150332,16093948.649791943
228.54887599956123,16001376.88080417
227.22496443660236,16242630.480336454
239.6199764418183,16057629.350929772
246.02375617844484,16402146.412672363
196.18344852747825,15796129.92194361
246.97079988552298,16138742.219942143
226.50770895559006,15743345.288227731
218.40888351806575,16093824.274761334
256.57048925022,16607110.04461391
226.24102146699542,15927069.145757083
220.37725450309554,16026089.096701318
244.48441105099113,15961091.487503568
220.51964129531893,15738995.764480643
225.79489502643588,16030974.65114974
233.98229708935463,16089600.82605709
260.39972663585934,16348082.756195901
211.71742919780132,15643828.868814513
246.523369187505,16264021.949271405
240.24419935702872,16311817.553355923
243.81708571776227,16185547.72615739
254.11473165832282,16365966.556794101
215.3605284225876,15813960.36412029
233.74234108030961,16098620.646806654
243.1984823727891,15995138.552460184
267.27602953651024,16299421.461626014
258.89877847096943,16256512.290734073
282.3079173009847,16508403.939283034
239.95532169229875,16374020.27962049
